,Miss work for health past 30 days,Days of poor physical health past 30 days,Days of poor mental health past 30 days,When did your last paid job end,Number of hours worked last week,Gss year for this respondent
219,,,,,,1998.0
220,,,,,40.0,1998.0
221,,,,,48.0,1998.0
222,,,,,32.0,1998.0
223,,,,,60.0,1998.0
224,,,,,45.0,1998.0
225,,,,1995.0,,1998.0
226,,,,,50.0,1998.0
227,,,,,35.0,1998.0
228,,,,,89.0,1998.0
229,,,,,43.0,1998.0
230,,,,,,1998.0
231,,,,,40.0,1998.0
232,,,,,44.0,1998.0
233,,,,1982.0,,1998.0
234,,,,,10.0,1998.0
235,,,,,,1998.0
236,,,,,,1998.0
237,,,,,,1998.0
238,,,,,40.0,1998.0
239,,,,,,1998.0
240,,,,,60.0,1998.0
241,,,,,,1998.0
242,,,,,65.0,1998.0
243,,,,,70.0,1998.0
244,,,,,40.0,1998.0
245,,,,,40.0,1998.0
246,,,,,72.0,1998.0
247,,,,,40.0,1998.0
248,,,,,40.0,1998.0
249,,,,,,1998.0
250,,,,,10.0,1998.0
251,,,,,36.0,1998.0
252,,,,,52.0,1998.0
253,,,,,53.0,1998.0
254,,,,,32.0,1998.0
255,,,,,33.0,1998.0
256,,,,,40.0,1998.0
257,,,,,38.0,1998.0
258,,,,,40.0,1998.0
259,,,,,,1998.0
260,,,,,,1998.0
261,,,,,43.0,1998.0
262,,,,,60.0,1998.0
263,,,,,12.0,1998.0
264,,,,,48.0,1998.0
265,,,,,,1998.0
266,,,,,60.0,1998.0
267,,,,,8.0,1998.0
268,,,,,40.0,1998.0
269,,,,,40.0,1998.0
270,,,,,,1998.0
271,,,,,48.0,1998.0
272,,,,,20.0,1998.0
273,,,,,40.0,1998.0
274,,,,,20.0,1998.0
275,,,,,40.0,1998.0
276,,,,,30.0,1998.0
277,,,,,40.0,1998.0
278,,,,,40.0,1998.0
279,,,,,40.0,1998.0
280,,,,,,1998.0
281,,,,,,1998.0
282,,,,,25.0,1998.0
283,,,,,,1998.0
284,,,,,24.0,1998.0
285,,,,,46.0,1998.0
