,Miss work for health past 30 days,Days of poor physical health past 30 days,Days of poor mental health past 30 days,When did your last paid job end,Number of hours worked last week,Gss year for this respondent
4242,,,,,40.0,2000.0
4243,,,,,40.0,2000.0
4244,,,,,60.0,2000.0
4245,,,,,40.0,2000.0
4246,,,,,50.0,2000.0
4247,,,,,35.0,2000.0
4248,,,,,56.0,2000.0
4249,,,,,24.0,2000.0
4250,,,,,,2000.0
4251,,,,,40.0,2000.0
4252,,,,,,2000.0
4253,,,,,60.0,2000.0
4254,,,,,52.0,2000.0
4255,,,,,32.0,2000.0
4256,,,,,,2000.0
4257,,,,,,2000.0
4258,,,,,,2000.0
4259,,,,,62.0,2000.0
4260,,,,,70.0,2000.0
4261,,,,,70.0,2000.0
4262,,,,,40.0,2000.0
4263,,,,,,2000.0
4264,,,,,30.0,2000.0
4265,,,,,,2000.0
4266,,,,,40.0,2000.0
4267,,,,,50.0,2000.0
4268,,,,,20.0,2000.0
4269,,,,,40.0,2000.0
4270,,,,,23.0,2000.0
4271,,,,,40.0,2000.0
4272,,,,,50.0,2000.0
4273,,,,,60.0,2000.0
4274,,,,,51.0,2000.0
4275,,,,,,2000.0
4276,,,,,,2000.0
4277,,,,,40.0,2000.0
4278,,,,,40.0,2000.0
4279,,,,,,2000.0
4280,,,,,,2000.0
4281,,,,,,2000.0
4282,,,,,,2000.0
4283,,,,,,2000.0
4284,,,,,50.0,2000.0
4285,,,,,25.0,2000.0
4286,,,,,,2000.0
4287,,,,,30.0,2000.0
4288,,,,,50.0,2000.0
4289,,,,,25.0,2000.0
4290,,,,,13.0,2000.0
4291,,,,,47.0,2000.0
4292,,,,,52.0,2000.0
4293,,,,,,2000.0
4294,,,,,38.0,2000.0
4295,,,,,46.0,2000.0
4296,,,,,20.0,2000.0
4297,,,,,,2000.0
4298,,,,,,2000.0
4299,,,,,,2000.0
4300,,,,,40.0,2000.0
4301,,,,,45.0,2000.0
4302,,,,,48.0,2000.0
4303,,,,,20.0,2000.0
4304,,,,,45.0,2000.0
4305,,,,,45.0,2000.0
4306,,,,,35.0,2000.0
4307,,,,,30.0,2000.0
4308,,,,,60.0,2000.0
4309,,,,,40.0,2000.0
4310,,,,,,2000.0
4311,,,,,,2000.0
4312,,,,,40.0,2000.0
4313,,,,,,2000.0
4314,,,,,,2000.0
4315,,,,,,2000.0
4316,,,,,40.0,2000.0
4317,,,,,,2000.0
4318,,,,,55.0,2000.0
4319,,,,,50.0,2000.0
4320,,,,,,2000.0
4321,,,,,,2000.0
4322,,,,,,2000.0
4323,,,,,46.0,2000.0
4324,,,,,40.0,2000.0
4325,,,,,56.0,2000.0
4326,,,,,50.0,2000.0
4327,,,,,,2000.0
4328,,,,,44.0,2000.0
4329,,,,,40.0,2000.0
4330,,,,,,2000.0
4331,,,,,,2000.0
4332,,,,,,2000.0
4333,,,,,40.0,2000.0
4334,,,,,40.0,2000.0
4335,,,,,24.0,2000.0
4336,,,,,40.0,2000.0
4337,,,,,40.0,2000.0
4338,,,,,40.0,2000.0
4339,,,,,,2000.0
4340,,,,,40.0,2000.0
4341,,,,,,2000.0
4342,,,,,,2000.0
4343,,,,,30.0,2000.0
4344,,,,,,2000.0
4345,,,,,22.0,2000.0
4346,,,,,40.0,2000.0
4347,,,,,,2000.0
4348,,,,,,2000.0
4349,,,,,60.0,2000.0
4350,,,,,32.0,2000.0
4351,,,,,,2000.0
4352,,,,,29.0,2000.0
4353,,,,,50.0,2000.0
4354,,,,,,2000.0
4355,,,,,50.0,2000.0
4356,,,,,,2000.0
4357,,,,,,2000.0
4358,,,,,50.0,2000.0
4359,,,,,,2000.0
4360,,,,,,2000.0
4361,,,,,,2000.0
4362,,,,,,2000.0
4363,,,,,,2000.0
4364,,,,,65.0,2000.0
4365,,,,,28.0,2000.0
4366,,,,,,2000.0
4367,,,,,65.0,2000.0
4368,,,,,40.0,2000.0
4369,,,,,40.0,2000.0
4370,,,,,70.0,2000.0
4371,,,,,40.0,2000.0
4372,,,,,,2000.0
4373,,,,,40.0,2000.0
4374,,,,,17.0,2000.0
4375,,,,,50.0,2000.0
4376,,,,,40.0,2000.0
4377,,,,,43.0,2000.0
4378,,,,,50.0,2000.0
4379,,,,,,2000.0
4380,,,,,60.0,2000.0
4381,,,,,40.0,2000.0
4382,,,,,,2000.0
4383,,,,,40.0,2000.0
4384,,,,,42.0,2000.0
4385,,,,,,2000.0
4386,,,,,40.0,2000.0
4387,,,,,60.0,2000.0
4388,,,,,45.0,2000.0
4389,,,,,,2000.0
4390,,,,,15.0,2000.0
4391,,,,,40.0,2000.0
4392,,,,,43.0,2000.0
4393,,,,,45.0,2000.0
4394,,,,,,2000.0
4395,,,,,32.0,2000.0
4396,,,,,20.0,2000.0
4397,,,,,50.0,2000.0
4398,,,,,60.0,2000.0
4399,,,,,30.0,2000.0
4400,,,,,40.0,2000.0
4401,,,,,28.0,2000.0
4402,,,,,40.0,2000.0
4403,,,,,45.0,2000.0
4404,,,,,50.0,2000.0
4405,,,,,40.0,2000.0
4406,,,,,60.0,2000.0
4407,,,,,36.0,2000.0
4408,,,,,10.0,2000.0
4409,,,,,45.0,2000.0
4410,,,,,40.0,2000.0
4411,,,,,40.0,2000.0
4412,,,,,80.0,2000.0
4413,,,,,40.0,2000.0
4414,,,,,,2000.0
4415,,,,,58.0,2000.0
4416,,,,,,2000.0
4417,,,,,,2000.0
4418,,,,,48.0,2000.0
4419,,,,,37.0,2000.0
4420,,,,,40.0,2000.0
4421,,,,,40.0,2000.0
4422,,,,,40.0,2000.0
4423,,,,,50.0,2000.0
4424,,,,,70.0,2000.0
4425,,,,,65.0,2000.0
4426,,,,,60.0,2000.0
4427,,,,,40.0,2000.0
4428,,,,,60.0,2000.0
4429,,,,,40.0,2000.0
4430,,,,,,2000.0
4431,,,,,,2000.0
4432,,,,,43.0,2000.0
4433,,,,,45.0,2000.0
4434,,,,,,2000.0
4435,,,,,42.0,2000.0
4436,,,,,20.0,2000.0
4437,,,,,,2000.0
4438,,,,,,2000.0
4439,,,,,,2000.0
4440,,,,,45.0,2000.0
4441,,,,,40.0,2000.0
4442,,,,,,2000.0
4443,,,,,,2000.0
4444,,,,,65.0,2000.0
4445,,,,,,2000.0
4446,,,,,40.0,2000.0
4447,,,,,10.0,2000.0
4448,,,,,60.0,2000.0
4449,,,,,89.0,2000.0
4450,,,,,,2000.0
4451,,,,,,2000.0
4452,,,,,,2000.0
4453,,,,,41.0,2000.0
4454,,,,,45.0,2000.0
4455,,,,,25.0,2000.0
4456,,,,,40.0,2000.0
4457,,,,,40.0,2000.0
4458,,,,,60.0,2000.0
4459,,,,,,2000.0
4460,,,,,50.0,2000.0
4461,,,,,15.0,2000.0
4462,,,,,15.0,2000.0
4463,,,,,,2000.0
4464,,,,,60.0,2000.0
4465,,,,,40.0,2000.0
4466,,,,,44.0,2000.0
4467,,,,,,2000.0
4468,,,,,50.0,2000.0
4469,,,,,,2000.0
4470,,,,,50.0,2000.0
4471,,,,,45.0,2000.0
4472,,,,,45.0,2000.0
4473,,,,,,2000.0
4474,,,,,,2000.0
4475,,,,,,2000.0
4476,,,,,40.0,2000.0
4477,,,,,,2000.0
4478,,,,,55.0,2000.0
4479,,,,,,2000.0
4480,,,,,,2000.0
4481,,,,,40.0,2000.0
4482,,,,,40.0,2000.0
4483,,,,,30.0,2000.0
4484,,,,,40.0,2000.0
4485,,,,,65.0,2000.0
4486,,,,,13.0,2000.0
4487,,,,,58.0,2000.0
4488,,,,,16.0,2000.0
4489,,,,,60.0,2000.0
4490,,,,,32.0,2000.0
4491,,,,,,2000.0
4492,,,,,38.0,2000.0
4493,,,,,25.0,2000.0
4494,,,,,,2000.0
4495,,,,,38.0,2000.0
4496,,,,,40.0,2000.0
4497,,,,,50.0,2000.0
4498,,,,,,2000.0
4499,,,,,43.0,2000.0
4500,,,,,40.0,2000.0
4501,,,,,,2000.0
4502,,,,,50.0,2000.0
4503,,,,,50.0,2000.0
4504,,,,,41.0,2000.0
4505,,,,,15.0,2000.0
4506,,,,,40.0,2000.0
4507,,,,,48.0,2000.0
4508,,,,,50.0,2000.0
4509,,,,,,2000.0
4510,,,,,60.0,2000.0
4511,,,,,60.0,2000.0
4512,,,,,60.0,2000.0
4513,,,,,,2000.0
4514,,,,,48.0,2000.0
4515,,,,,,2000.0
4516,,,,,30.0,2000.0
4517,,,,,40.0,2000.0
4518,,,,,,2000.0
4519,,,,,,2000.0
4520,,,,,,2000.0
4521,,,,,,2000.0
4522,,,,,44.0,2000.0
4523,,,,,40.0,2000.0
4524,,,,,40.0,2000.0
4525,,,,,,2000.0
4526,,,,,65.0,2000.0
4527,,,,,40.0,2000.0
4528,,,,,20.0,2000.0
4529,,,,,54.0,2000.0
4530,,,,,60.0,2000.0
4531,,,,,45.0,2000.0
4532,,,,,43.0,2000.0
4533,,,,,60.0,2000.0
4534,,,,,,2000.0
4535,,,,,40.0,2000.0
4536,,,,,38.0,2000.0
4537,,,,,55.0,2000.0
4538,,,,,,2000.0
4539,,,,,40.0,2000.0
4540,,,,,,2000.0
4541,,,,,,2000.0
4542,,,,,48.0,2000.0
4543,,,,,44.0,2000.0
4544,,,,,48.0,2000.0
4545,,,,,,2000.0
4546,,,,,44.0,2000.0
4547,,,,,,2000.0
4548,,,,,,2000.0
4549,,,,,,2000.0
4550,,,,,40.0,2000.0
4551,,,,,40.0,2000.0
4552,,,,,,2000.0
4553,,,,,40.0,2000.0
4554,,,,,,2000.0
4555,,,,,,2000.0
4556,,,,,,2000.0
4557,,,,,,2000.0
4558,,,,,50.0,2000.0
4559,,,,,26.0,2000.0
4560,,,,,40.0,2000.0
4561,,,,,38.0,2000.0
4562,,,,,45.0,2000.0
4563,,,,,,2000.0
4564,,,,,44.0,2000.0
4565,,,,,50.0,2000.0
4566,,,,,51.0,2000.0
4567,,,,,40.0,2000.0
4568,,,,,40.0,2000.0
4569,,,,,,2000.0
4570,,,,,60.0,2000.0
4571,,,,,48.0,2000.0
4572,,,,,,2000.0
4573,,,,,45.0,2000.0
4574,,,,,40.0,2000.0
4575,,,,,,2000.0
4576,,,,,,2000.0
4577,,,,,,2000.0
4578,,,,,40.0,2000.0
4579,,,,,45.0,2000.0
4580,,,,,65.0,2000.0
4581,,,,,,2000.0
4582,,,,,40.0,2000.0
4583,,,,,60.0,2000.0
4584,,,,,,2000.0
4585,,,,,38.0,2000.0
4586,,,,,37.0,2000.0
4587,,,,,64.0,2000.0
4588,,,,,30.0,2000.0
4589,,,,,44.0,2000.0
4590,,,,,,2000.0
4591,,,,,,2000.0
4592,,,,,,2000.0
4593,,,,,25.0,2000.0
4594,,,,,60.0,2000.0
4595,,,,,,2000.0
4596,,,,,40.0,2000.0
4597,,,,,,2000.0
4598,,,,,30.0,2000.0
4599,,,,,,2000.0
4600,,,,,,2000.0
4601,,,,,,2000.0
4602,,,,,48.0,2000.0
4603,,,,,28.0,2000.0
4604,,,,,40.0,2000.0
4605,,,,,80.0,2000.0
4606,,,,,,2000.0
4607,,,,,,2000.0
4608,,,,,26.0,2000.0
4609,,,,,,2000.0
4610,,,,,,2000.0
4611,,,,,,2000.0
4612,,,,,,2000.0
4613,,,,,40.0,2000.0
4614,,,,,,2000.0
4615,,,,,60.0,2000.0
4616,,,,,4.0,2000.0
4617,,,,,,2000.0
4618,,,,,45.0,2000.0
4619,,,,,30.0,2000.0
4620,,,,,32.0,2000.0
4621,,,,,40.0,2000.0
4622,,,,,,2000.0
4623,,,,,65.0,2000.0
4624,,,,,,2000.0
4625,,,,,45.0,2000.0
4626,,,,,55.0,2000.0
4627,,,,,53.0,2000.0
4628,,,,,,2000.0
4629,,,,,40.0,2000.0
4630,,,,,45.0,2000.0
4631,,,,,45.0,2000.0
4632,,,,,45.0,2000.0
4633,,,,,40.0,2000.0
4634,,,,,45.0,2000.0
4635,,,,,,2000.0
4636,,,,,,2000.0
4637,,,,,,2000.0
4638,,,,,,2000.0
4639,,,,,50.0,2000.0
4640,,,,,45.0,2000.0
4641,,,,,40.0,2000.0
4642,,,,,40.0,2000.0
4643,,,,,45.0,2000.0
4644,,,,,43.0,2000.0
4645,,,,,54.0,2000.0
4646,,,,,,2000.0
4647,,,,,40.0,2000.0
4648,,,,,40.0,2000.0
4649,,,,,40.0,2000.0
4650,,,,,40.0,2000.0
4651,,,,,,2000.0
4652,,,,,,2000.0
4653,,,,,,2000.0
4654,,,,,,2000.0
4655,,,,,,2000.0
4656,,,,,,2000.0
4657,,,,,60.0,2000.0
4658,,,,,55.0,2000.0
4659,,,,,39.0,2000.0
4660,,,,,44.0,2000.0
4661,,,,,,2000.0
4662,,,,,20.0,2000.0
4663,,,,,,2000.0
4664,,,,,,2000.0
4665,,,,,48.0,2000.0
4666,,,,,,2000.0
4667,,,,,40.0,2000.0
4668,,,,,,2000.0
4669,,,,,,2000.0
4670,,,,,40.0,2000.0
4671,,,,,40.0,2000.0
4672,,,,,40.0,2000.0
4673,,,,,,2000.0
4674,,,,,20.0,2000.0
4675,,,,,,2000.0
4676,,,,,,2000.0
4677,,,,,,2000.0
4678,,,,,,2000.0
4679,,,,,25.0,2000.0
4680,,,,,38.0,2000.0
4681,,,,,,2000.0
4682,,,,,40.0,2000.0
4683,,,,,45.0,2000.0
4684,,,,,70.0,2000.0
4685,,,,,36.0,2000.0
4686,,,,,55.0,2000.0
4687,,,,,,2000.0
4688,,,,,45.0,2000.0
4689,,,,,40.0,2000.0
4690,,,,,40.0,2000.0
4691,,,,,,2000.0
4692,,,,,,2000.0
4693,,,,,40.0,2000.0
4694,,,,,40.0,2000.0
4695,,,,,,2000.0
4696,,,,,70.0,2000.0
4697,,,,,,2000.0
4698,,,,,40.0,2000.0
4699,,,,,20.0,2000.0
4700,,,,,40.0,2000.0
4701,,,,,40.0,2000.0
4702,,,,,40.0,2000.0
4703,,,,,40.0,2000.0
4704,,,,,40.0,2000.0
4705,,,,,44.0,2000.0
4706,,,,,,2000.0
4707,,,,,40.0,2000.0
4708,,,,,40.0,2000.0
4709,,,,,40.0,2000.0
4710,,,,,40.0,2000.0
4711,,,,,,2000.0
4712,,,,,40.0,2000.0
4713,,,,,34.0,2000.0
4714,,,,,48.0,2000.0
4715,,,,,,2000.0
4716,,,,,25.0,2000.0
4717,,,,,56.0,2000.0
4718,,,,,,2000.0
4719,,,,,52.0,2000.0
4720,,,,,60.0,2000.0
4721,,,,,55.0,2000.0
4722,,,,,,2000.0
4723,,,,,45.0,2000.0
4724,,,,,50.0,2000.0
4725,,,,,60.0,2000.0
4726,,,,,45.0,2000.0
4727,,,,,45.0,2000.0
4728,,,,,50.0,2000.0
4729,,,,,,2000.0
4730,,,,,40.0,2000.0
4731,,,,,40.0,2000.0
4732,,,,,,2000.0
4733,,,,,45.0,2000.0
4734,,,,,,2000.0
4735,,,,,,2000.0
4736,,,,,50.0,2000.0
4737,,,,,,2000.0
4738,,,,,15.0,2000.0
4739,,,,,20.0,2000.0
4740,,,,,85.0,2000.0
4741,,,,,40.0,2000.0
4742,,,,,13.0,2000.0
4743,,,,,18.0,2000.0
4744,,,,,10.0,2000.0
4745,,,,,30.0,2000.0
4746,,,,,40.0,2000.0
4747,,,,,40.0,2000.0
4748,,,,,30.0,2000.0
4749,,,,,40.0,2000.0
4750,,,,,40.0,2000.0
4751,,,,,40.0,2000.0
4752,,,,,,2000.0
4753,,,,,45.0,2000.0
4754,,,,,40.0,2000.0
4755,,,,,40.0,2000.0
4756,,,,,25.0,2000.0
4757,,,,,40.0,2000.0
4758,,,,,60.0,2000.0
4759,,,,,40.0,2000.0
4760,,,,,32.0,2000.0
4761,,,,,,2000.0
4762,,,,,50.0,2000.0
4763,,,,,,2000.0
4764,,,,,,2000.0
4765,,,,,40.0,2000.0
4766,,,,,87.0,2000.0
4767,,,,,,2000.0
4768,,,,,30.0,2000.0
4769,,,,,40.0,2000.0
4770,,,,,,2000.0
4771,,,,,,2000.0
4772,,,,,,2000.0
4773,,,,,50.0,2000.0
4774,,,,,,2000.0
4775,,,,,,2000.0
4776,,,,,55.0,2000.0
4777,,,,,40.0,2000.0
4778,,,,,48.0,2000.0
4779,,,,,,2000.0
4780,,,,,,2000.0
4781,,,,,30.0,2000.0
4782,,,,,30.0,2000.0
4783,,,,,,2000.0
4784,,,,,,2000.0
4785,,,,,63.0,2000.0
4786,,,,,40.0,2000.0
4787,,,,,30.0,2000.0
4788,,,,,48.0,2000.0
4789,,,,,60.0,2000.0
4790,,,,,40.0,2000.0
4791,,,,,40.0,2000.0
4792,,,,,40.0,2000.0
4793,,,,,,2000.0
4794,,,,,45.0,2000.0
4795,,,,,,2000.0
4796,,,,,40.0,2000.0
4797,,,,,59.0,2000.0
4798,,,,,46.0,2000.0
4799,,,,,60.0,2000.0
4800,,,,,32.0,2000.0
4801,,,,,,2000.0
4802,,,,,35.0,2000.0
4803,,,,,20.0,2000.0
4804,,,,,48.0,2000.0
4805,,,,,40.0,2000.0
4806,,,,,60.0,2000.0
4807,,,,,,2000.0
4808,,,,,,2000.0
4809,,,,,,2000.0
4810,,,,,,2000.0
4811,,,,,40.0,2000.0
4812,,,,,35.0,2000.0
4813,,,,,49.0,2000.0
4814,,,,,40.0,2000.0
4815,,,,,,2000.0
4816,,,,,40.0,2000.0
4817,,,,,89.0,2000.0
4818,,,,,40.0,2000.0
4819,,,,,44.0,2000.0
4820,,,,,40.0,2000.0
4821,,,,,,2000.0
4822,,,,,52.0,2000.0
4823,,,,,,2000.0
4824,,,,,32.0,2000.0
4825,,,,,40.0,2000.0
4826,,,,,36.0,2000.0
4827,,,,,40.0,2000.0
4828,,,,,49.0,2000.0
4829,,,,,,2000.0
4830,,,,,70.0,2000.0
4831,,,,,50.0,2000.0
4832,,,,,,2000.0
4833,,,,,50.0,2000.0
4834,,,,,52.0,2000.0
4835,,,,,50.0,2000.0
4836,,,,,7.0,2000.0
4837,,,,,50.0,2000.0
4838,,,,,8.0,2000.0
4839,,,,,55.0,2000.0
4840,,,,,40.0,2000.0
4841,,,,,70.0,2000.0
4842,,,,,,2000.0
4843,,,,,,2000.0
4844,,,,,19.0,2000.0
4845,,,,,,2000.0
4846,,,,,50.0,2000.0
4847,,,,,,2000.0
4848,,,,,,2000.0
4849,,,,,,2000.0
4850,,,,,,2000.0
4851,,,,,,2000.0
4852,,,,,,2000.0
4853,,,,,,2000.0
4854,,,,,,2000.0
4855,,,,,,2000.0
4856,,,,,48.0,2000.0
4857,,,,,,2000.0
4858,,,,,,2000.0
4859,,,,,45.0,2000.0
4860,,,,,60.0,2000.0
4861,,,,,12.0,2000.0
4862,,,,,70.0,2000.0
4863,,,,,38.0,2000.0
4864,,,,,,2000.0
4865,,,,,60.0,2000.0
4866,,,,,,2000.0
4867,,,,,,2000.0
4868,,,,,24.0,2000.0
4869,,,,,43.0,2000.0
4870,,,,,,2000.0
4871,,,,,,2000.0
4872,,,,,,2000.0
4873,,,,,40.0,2000.0
4874,,,,,38.0,2000.0
4875,,,,,,2000.0
4876,,,,,,2000.0
4877,,,,,36.0,2000.0
4878,,,,,40.0,2000.0
4879,,,,,50.0,2000.0
4880,,,,,60.0,2000.0
4881,,,,,45.0,2000.0
4882,,,,,55.0,2000.0
4883,,,,,50.0,2000.0
4884,,,,,,2000.0
4885,,,,,30.0,2000.0
4886,,,,,,2000.0
4887,,,,,50.0,2000.0
4888,,,,,40.0,2000.0
4889,,,,,40.0,2000.0
4890,,,,,45.0,2000.0
4891,,,,,80.0,2000.0
4892,,,,,50.0,2000.0
4893,,,,,40.0,2000.0
4894,,,,,27.0,2000.0
4895,,,,,40.0,2000.0
4896,,,,,,2000.0
4897,,,,,40.0,2000.0
4898,,,,,40.0,2000.0
4899,,,,,40.0,2000.0
4900,,,,,77.0,2000.0
4901,,,,,45.0,2000.0
4902,,,,,,2000.0
4903,,,,,40.0,2000.0
4904,,,,,40.0,2000.0
4905,,,,,50.0,2000.0
4906,,,,,,2000.0
4907,,,,,40.0,2000.0
4908,,,,,40.0,2000.0
4909,,,,,40.0,2000.0
4910,,,,,,2000.0
4911,,,,,,2000.0
4912,,,,,40.0,2000.0
4913,,,,,55.0,2000.0
4914,,,,,40.0,2000.0
4915,,,,,35.0,2000.0
4916,,,,,40.0,2000.0
4917,,,,,40.0,2000.0
4918,,,,,,2000.0
4919,,,,,25.0,2000.0
4920,,,,,40.0,2000.0
4921,,,,,,2000.0
4922,,,,,40.0,2000.0
4923,,,,,40.0,2000.0
4924,,,,,40.0,2000.0
4925,,,,,,2000.0
4926,,,,,,2000.0
4927,,,,,35.0,2000.0
4928,,,,,,2000.0
4929,,,,,50.0,2000.0
4930,,,,,40.0,2000.0
4931,,,,,,2000.0
4932,,,,,,2000.0
4933,,,,,,2000.0
4934,,,,,,2000.0
4935,,,,,40.0,2000.0
4936,,,,,,2000.0
4937,,,,,,2000.0
4938,,,,,,2000.0
4939,,,,,,2000.0
4940,,,,,30.0,2000.0
4941,,,,,,2000.0
4942,,,,,,2000.0
4943,,,,,,2000.0
4944,,,,,45.0,2000.0
4945,,,,,,2000.0
4946,,,,,30.0,2000.0
4947,,,,,,2000.0
4948,,,,,,2000.0
4949,,,,,40.0,2000.0
4950,,,,,40.0,2000.0
4951,,,,,45.0,2000.0
4952,,,,,45.0,2000.0
4953,,,,,,2000.0
4954,,,,,18.0,2000.0
4955,,,,,60.0,2000.0
4956,,,,,42.0,2000.0
4957,,,,,60.0,2000.0
4958,,,,,10.0,2000.0
4959,,,,,40.0,2000.0
4960,,,,,72.0,2000.0
4961,,,,,55.0,2000.0
4962,,,,,40.0,2000.0
4963,,,,,,2000.0
4964,,,,,,2000.0
4965,,,,,,2000.0
4966,,,,,,2000.0
4967,,,,,55.0,2000.0
4968,,,,,60.0,2000.0
4969,,,,,,2000.0
4970,,,,,40.0,2000.0
4971,,,,,,2000.0
4972,,,,,,2000.0
4973,,,,,,2000.0
4974,,,,,50.0,2000.0
4975,,,,,25.0,2000.0
4976,,,,,66.0,2000.0
4977,,,,,40.0,2000.0
4978,,,,,,2000.0
4979,,,,,,2000.0
4980,,,,,,2000.0
4981,,,,,40.0,2000.0
4982,,,,,50.0,2000.0
4983,,,,,40.0,2000.0
4984,,,,,35.0,2000.0
4985,,,,,39.0,2000.0
4986,,,,,65.0,2000.0
4987,,,,,,2000.0
4988,,,,,40.0,2000.0
4989,,,,,45.0,2000.0
4990,,,,,38.0,2000.0
4991,,,,,50.0,2000.0
4992,,,,,,2000.0
4993,,,,,,2000.0
4994,,,,,42.0,2000.0
4995,,,,,,2000.0
4996,,,,,50.0,2000.0
4997,,,,,24.0,2000.0
4998,,,,,18.0,2000.0
4999,,,,,,2000.0
5000,,,,,35.0,2000.0
5001,,,,,52.0,2000.0
5002,,,,,40.0,2000.0
5003,,,,,40.0,2000.0
5004,,,,,40.0,2000.0
5005,,,,,40.0,2000.0
5006,,,,,,2000.0
5007,,,,,45.0,2000.0
5008,,,,,,2000.0
5009,,,,,25.0,2000.0
5010,,,,,,2000.0
5011,,,,,47.0,2000.0
5012,,,,,35.0,2000.0
5013,,,,,40.0,2000.0
5014,,,,,,2000.0
5015,,,,,,2000.0
5016,,,,,,2000.0
5017,,,,,,2000.0
5018,,,,,,2000.0
5019,,,,,45.0,2000.0
5020,,,,,47.0,2000.0
5021,,,,,,2000.0
5022,,,,,38.0,2000.0
5023,,,,,40.0,2000.0
5024,,,,,,2000.0
5025,,,,,,2000.0
5026,,,,,,2000.0
5027,,,,,,2000.0
5028,,,,,,2000.0
5029,,,,,,2000.0
5030,,,,,,2000.0
5031,,,,,,2000.0
5032,,,,,24.0,2000.0
5033,,,,,35.0,2000.0
5034,,,,,50.0,2000.0
5035,,,,,65.0,2000.0
5036,,,,,43.0,2000.0
5037,,,,,,2000.0
5038,,,,,46.0,2000.0
5039,,,,,40.0,2000.0
5040,,,,,40.0,2000.0
5041,,,,,65.0,2000.0
5042,,,,,40.0,2000.0
5043,,,,,,2000.0
5044,,,,,,2000.0
5045,,,,,,2000.0
5046,,,,,,2000.0
5047,,,,,40.0,2000.0
5048,,,,,40.0,2000.0
5049,,,,,,2000.0
5050,,,,,,2000.0
5051,,,,,50.0,2000.0
5052,,,,,37.0,2000.0
5053,,,,,,2000.0
5054,,,,,89.0,2000.0
5055,,,,,,2000.0
5056,,,,,23.0,2000.0
5057,,,,,,2000.0
5058,,,,,,2000.0
5059,,,,,40.0,2000.0
5060,,,,,32.0,2000.0
5061,,,,,40.0,2000.0
5062,,,,,,2000.0
5063,,,,,45.0,2000.0
5064,,,,,,2000.0
5065,,,,,62.0,2000.0
5066,,,,,54.0,2000.0
5067,,,,,70.0,2000.0
5068,,,,,40.0,2000.0
5069,,,,,44.0,2000.0
5070,,,,,53.0,2000.0
5071,,,,,,2000.0
5072,,,,,46.0,2000.0
5073,,,,,,2000.0
5074,,,,,35.0,2000.0
5075,,,,,,2000.0
5076,,,,,40.0,2000.0
5077,,,,,,2000.0
5078,,,,,72.0,2000.0
5079,,,,,,2000.0
5080,,,,,,2000.0
5081,,,,,40.0,2000.0
5082,,,,,,2000.0
5083,,,,,40.0,2000.0
5084,,,,,40.0,2000.0
5085,,,,,,2000.0
5086,,,,,40.0,2000.0
5087,,,,,,2000.0
5088,,,,,,2000.0
5089,,,,,,2000.0
5090,,,,,,2000.0
5091,,,,,,2000.0
5092,,,,,,2000.0
5093,,,,,,2000.0
5094,,,,,,2000.0
5095,,,,,36.0,2000.0
5096,,,,,,2000.0
5097,,,,,60.0,2000.0
5098,,,,,40.0,2000.0
5099,,,,,,2000.0
5100,,,,,52.0,2000.0
5101,,,,,16.0,2000.0
5102,,,,,,2000.0
5103,,,,,,2000.0
5104,,,,,17.0,2000.0
5105,,,,,35.0,2000.0
5106,,,,,,2000.0
5107,,,,,80.0,2000.0
5108,,,,,,2000.0
5109,,,,,,2000.0
5110,,,,,,2000.0
5111,,,,,,2000.0
5112,,,,,,2000.0
5113,,,,,45.0,2000.0
5114,,,,,40.0,2000.0
5115,,,,,40.0,2000.0
5116,,,,,13.0,2000.0
5117,,,,,28.0,2000.0
5118,,,,,,2000.0
5119,,,,,4.0,2000.0
5120,,,,,25.0,2000.0
5121,,,,,40.0,2000.0
5122,,,,,15.0,2000.0
5123,,,,,45.0,2000.0
5124,,,,,,2000.0
5125,,,,,22.0,2000.0
5126,,,,,,2000.0
5127,,,,,,2000.0
5128,,,,,50.0,2000.0
5129,,,,,89.0,2000.0
5130,,,,,,2000.0
5131,,,,,,2000.0
5132,,,,,15.0,2000.0
5133,,,,,8.0,2000.0
5134,,,,,,2000.0
5135,,,,,44.0,2000.0
5136,,,,,15.0,2000.0
5137,,,,,30.0,2000.0
5138,,,,,40.0,2000.0
5139,,,,,40.0,2000.0
5140,,,,,40.0,2000.0
5141,,,,,40.0,2000.0
5142,,,,,,2000.0
5143,,,,,,2000.0
5144,,,,,40.0,2000.0
5145,,,,,47.0,2000.0
5146,,,,,,2000.0
5147,,,,,,2000.0
5148,,,,,,2000.0
5149,,,,,,2000.0
5150,,,,,,2000.0
5151,,,,,40.0,2000.0
5152,,,,,80.0,2000.0
5153,,,,,,2000.0
5154,,,,,50.0,2000.0
5155,,,,,40.0,2000.0
5156,,,,,40.0,2000.0
5157,,,,,20.0,2000.0
5158,,,,,,2000.0
5159,,,,,,2000.0
5160,,,,,,2000.0
5161,,,,,,2000.0
5162,,,,,,2000.0
5163,,,,,,2000.0
5164,,,,,,2000.0
5165,,,,,,2000.0
5166,,,,,,2000.0
5167,,,,,,2000.0
5168,,,,,,2000.0
5169,,,,,40.0,2000.0
5170,,,,,,2000.0
5171,,,,,50.0,2000.0
5172,,,,,30.0,2000.0
5173,,,,,40.0,2000.0
5174,,,,,,2000.0
5175,,,,,,2000.0
5176,,,,,55.0,2000.0
